context,table_index,paragraph_anchor_index,tblStyle,alignment,rows,cols,preferred_width
body,0,67,GridTable6Colorful-Accent1,,8,1,12.998
body,1,69,ListTable6Colorful-Accent5,center,6,2,10.998
body,2,77,TableGrid1,center,2,4,
body,3,89,ListTable3-Accent1,center,9,3,14.799
body,4,92,ListTable6Colorful-Accent5,center,6,2,12.0
body,5,97,TableGrid1,center,5,4,12.0
body,6,111,GridTable4-Accent1,,9,4,14.998
body,7,119,TableGrid,,3,2,14.998
body,8,120,TableGrid,,3,2,14.998
body,9,121,TableGrid,,3,2,14.998
body,10,122,TableGrid,,3,2,14.998
body,11,123,TableGrid,,3,2,14.998
body,12,124,TableGrid,,3,2,14.998
body,13,128,TableGrid,center,1,2,
body,14,129,TableGrid,center,1,2,
body,15,169,TableGrid,,4,2,15.162
body,16,191,TableGrid,,4,3,8.818
body,17,192,TableGrid,,9,1,14.998
body,18,202,TableGrid,,4,2,12.998
body,19,215,TableGrid,center,4,3,8.818
body,20,216,TableGrid,,9,1,14.998
