Operation,Data,"Document 1"
Statistics,"Sentence count",476
Statistics,"Token count",9326
Statistics,"Type count",2095
Statistics,"Syllable count",14333
Statistics,"Type/token ratio",0.22
Statistics,"Words with more than 2 syllables",1163
Statistics,"Words with more than 2 syllables - Percentage",12.47
Statistics,"Average syllables per sentence",30.11
Statistics,"Average syllables per word",1.54
Statistics,"Syllables per 100 words",153.69
Statistics,"Flesch Reading Ease",56.93
Statistics,"Flesch-Kincaid Grade",10.19
Statistics,"Gunning Fog Index",12.83
Statistics,"Average Sentence Length",19.59
"Lexical Diversity","Lexical diversity (VOCD)",132.23
"Lexical Diversity","Lexical diversity (MTLD)",121.97
Tagger,"Coverage %",100.00
Tagger,"Coverage count",9326
Tagger,"Coverage not counted",0
Tagger,"Token count",9326
Tagger,"Type count",2095
Tagger,Elements,2355
Tagger,"Type/token ratio",0.22
Tagger,"Tokens per type",4.45
Tagger,"Total Verbal Elements",679
Tagger,"Verbal Elements per Sentence",1.43
Tagger,"Total Noun Elements",1102
Tagger,"Noun Elements per Sentence",2.32
Tagger,"Token count ($)",34
Tagger,"Token count (,)",0
Tagger,"Token count (:)",0
Tagger,"Token count (???)",0
Tagger,"Token count (CD)",144
Tagger,"Token count (CO)",369
Tagger,"Token count (DAT)",899
Tagger,"Token count (DT)",202
Tagger,"Token count (DTW)",26
Tagger,"Token count (EX)",8
Tagger,"Token count (FW)",0
Tagger,"Token count (GE)",51
Tagger,"Token count (IN)",1124
Tagger,"Token count (JJ)",734
Tagger,"Token count (JJR)",92
Tagger,"Token count (JJS)",49
Tagger,"Token count (LS)",0
Tagger,"Token count (MD)",68
Tagger,"Token count (NN)",1748
Tagger,"Token count (NNS)",747
Tagger,"Token count (NP)",425
Tagger,"Token count (NPS)",21
Tagger,"Token count (PDT)",0
Tagger,"Token count (PN)",10
Tagger,"Token count (PP)",141
Tagger,"Token count (PP$)",91
Tagger,"Token count (PWH)",23
Tagger,"Token count (PWS)",55
Tagger,"Token count (QQ)",33
Tagger,"Token count (RB)",483
Tagger,"Token count (RBR)",34
Tagger,"Token count (RBS)",10
Tagger,"Token count (STOP)",0
Tagger,"Token count (SYM)",0
Tagger,"Token count (THAT)",39
Tagger,"Token count (TO)",156
Tagger,"Token count (UH)",0
Tagger,"Token count (VB)",18
Tagger,"Token count (VBD)",45
Tagger,"Token count (VBG)",2
Tagger,"Token count (VBN)",6
Tagger,"Token count (VBP)",36
Tagger,"Token count (VBZ)",205
Tagger,"Token count (VD)",0
Tagger,"Token count (VDD)",7
Tagger,"Token count (VDG)",0
Tagger,"Token count (VDN)",2
Tagger,"Token count (VDP)",4
Tagger,"Token count (VDZ)",9
Tagger,"Token count (VH)",2
Tagger,"Token count (VHD)",16
Tagger,"Token count (VHG)",1
Tagger,"Token count (VHN)",0
Tagger,"Token count (VHP)",12
Tagger,"Token count (VHZ)",33
Tagger,"Token count (VV)",174
Tagger,"Token count (VVD)",209
Tagger,"Token count (VVG)",164
