Operation,Data,"Document 1"
Statistics,"Sentence count",20
Statistics,"Token count",9154
Statistics,"Type count",2176
Statistics,"Syllable count",14700
Statistics,"Type/token ratio",0.24
Statistics,"Words with more than 2 syllables",1392
Statistics,"Words with more than 2 syllables - Percentage",15.21
Statistics,"Average syllables per sentence",735.00
Statistics,"Average syllables per word",1.61
Statistics,"Syllables per 100 words",160.59
Statistics,"Flesch Reading Ease",-393.59
Statistics,"Flesch-Kincaid Grade",181.86
Statistics,"Gunning Fog Index",189.16
Statistics,"Average Sentence Length",457.70
"Lexical Diversity","Lexical diversity (VOCD)",129.06
"Lexical Diversity","Lexical diversity (MTLD)",137.58
Tagger,"Coverage %",100.00
Tagger,"Coverage count",9154
Tagger,"Coverage not counted",0
Tagger,"Token count",9154
Tagger,"Type count",2176
Tagger,Elements,2478
Tagger,"Type/token ratio",0.24
Tagger,"Tokens per type",4.21
Tagger,"Total Verbal Elements",705
Tagger,"Verbal Elements per Sentence",35.25
Tagger,"Total Noun Elements",1197
Tagger,"Noun Elements per Sentence",59.85
Tagger,"Token count ($)",0
Tagger,"Token count (,)",0
Tagger,"Token count (:)",0
Tagger,"Token count (???)",0
Tagger,"Token count (CD)",148
Tagger,"Token count (CO)",334
Tagger,"Token count (DAT)",971
Tagger,"Token count (DT)",183
Tagger,"Token count (DTW)",24
Tagger,"Token count (EX)",2
Tagger,"Token count (FW)",0
Tagger,"Token count (GE)",0
Tagger,"Token count (IN)",1106
Tagger,"Token count (JJ)",727
Tagger,"Token count (JJR)",73
Tagger,"Token count (JJS)",46
Tagger,"Token count (LS)",0
Tagger,"Token count (MD)",88
Tagger,"Token count (NN)",1524
Tagger,"Token count (NNS)",776
Tagger,"Token count (NP)",557
Tagger,"Token count (NPS)",78
Tagger,"Token count (PDT)",0
Tagger,"Token count (PN)",5
Tagger,"Token count (PP)",136
Tagger,"Token count (PP$)",84
Tagger,"Token count (PWH)",34
Tagger,"Token count (PWS)",49
Tagger,"Token count (QQ)",29
Tagger,"Token count (RB)",396
Tagger,"Token count (RBR)",39
Tagger,"Token count (RBS)",12
Tagger,"Token count (STOP)",0
Tagger,"Token count (SYM)",0
Tagger,"Token count (THAT)",37
Tagger,"Token count (TO)",184
Tagger,"Token count (UH)",0
Tagger,"Token count (VB)",17
Tagger,"Token count (VBD)",57
Tagger,"Token count (VBG)",0
Tagger,"Token count (VBN)",13
Tagger,"Token count (VBP)",33
