Writing Task Model Quality Log
Source: mofa situations/Situations_all.yaml
Scope: instructions.writing_task.prompt.en vs language.writing_task.model

Format: ID | Quality | Notes

H01 | Good | No issues noted.
H02 | Minor issue | Model does not explicitly mention the recent phone conversation.
H03 | Good | No issues noted.
H04 | Good | No issues noted.
H05 | Good | No issues noted.
H06 | Good | No issues noted.
H07 | Good | No issues noted.
H08 | Good | No issues noted.
H09 | Good | No issues noted.
H10 | Good | No issues noted.
G01 | Minor issue | Model does not state when the call was received.
G02 | Good | No issues noted.
G03 | Minor issue | Model does not include a specific event name.
G04 | Good | No issues noted.
G05 | Minor issue | Model provides a route but no alternative route as requested.
G06 | Good | No issues noted.
G07 | Good | No issues noted.
G08 | Good | No issues noted.
G09 | Good | No issues noted.
G10 | Good | No issues noted.
F01 | Good | No issues noted.
F02 | Good | No issues noted.
F03 | Good | No issues noted.
F04 | Good | No issues noted.
F05 | Good | No issues noted.
F06 | Good | No issues noted.
F07 | Good | No issues noted.
F08 | Minor issue | Model does not briefly outline the options discussed during the meeting.
F09 | Good | No issues noted.
F10 | Good | No issues noted.
E01 | Good | No issues noted.
E02 | Good | No issues noted.
E03 | Good | No issues noted.
E04 | Good | No issues noted.
E05 | Good | No issues noted.
E06 | Good | No issues noted.
E07 | Good | No issues noted.
E08 | Good | No issues noted.
E09 | Good | No issues noted.
E10 | Good | No issues noted.
D01 | Good | No issues noted.
D02 | Good | No issues noted.
D03 | Good | No issues noted.
D04 | Good | No issues noted.
D05 | Good | No issues noted.
D06 | Minor issue | Model gives reasons but no concrete evidence as requested.
D07 | Minor issue | Model does not explicitly request written confirmation of the agreed-upon solution.
D08 | Good | No issues noted.
D09 | Good | No issues noted.
D10 | Good | No issues noted.
C01 | Good | No issues noted.
C02 | Good | No issues noted.
C03 | Good | No issues noted.
C04 | Good | No issues noted.
C05 | Good | No issues noted.
C06 | Good | No issues noted.
C07 | Good | No issues noted.
C08 | Good | No issues noted.
C09 | Good | No issues noted.
C10 | Good | No issues noted.
