Purpose Objectives Translation Quality Log
Source: mofa situations/Situations_all.yaml
Scope: purpose_objectives.en and purpose_objectives.ja for each situation

Format: ID | Quality | Notes

H01 | Good | No issues noted.
H02 | Good | No issues noted.
H03 | Good | No issues noted.
H04 | Good | No issues noted.
H05 | Minor issue | English is slightly awkward: "incorrect statement amount"; meaning still clear.
H06 | Good | No issues noted.
H07 | Good | No issues noted.
H08 | Good | No issues noted.
H09 | Good | No issues noted.
H10 | Good | No issues noted.
G01 | Good | No issues noted.
G02 | Good | No issues noted.
G03 | Good | No issues noted.
G04 | Good | No issues noted.
G05 | Minor issue | Japanese adds an extra parenthetical elaboration not present in English; scope slightly expanded.
G06 | Good | No issues noted.
G07 | Good | No issues noted.
G08 | Good | No issues noted.
G09 | Good | No issues noted.
G10 | Good | No issues noted.
F01 | Good | No issues noted.
F02 | Good | No issues noted.
F03 | Good | No issues noted.
F04 | Good | No issues noted.
F05 | Good | No issues noted.
F06 | Good | No issues noted.
F07 | Good | No issues noted.
F08 | Major issue | English line appears truncated (ends with "sol"), so content is incomplete vs Japanese.
F09 | Good | No issues noted.
F10 | Good | No issues noted.
E01 | Good | No issues noted.
E02 | Good | No issues noted.
E03 | Good | No issues noted.
E04 | Good | No issues noted.
E05 | Good | No issues noted.
E06 | Good | No issues noted.
E07 | Good | No issues noted.
E08 | Good | No issues noted.
E09 | Good | No issues noted.
E10 | Good | No issues noted.
D01 | Good | No issues noted.
D02 | Minor issue | Japanese "事件性の高い問題" suggests more serious incidents than English "incidental issues".
D03 | Major issue | English line appears truncated (ends with "by c"), so content is incomplete vs Japanese.
D04 | Good | No issues noted.
D05 | Good | No issues noted.
D06 | Good | No issues noted.
D07 | Good | No issues noted.
D08 | Good | No issues noted.
D09 | Good | No issues noted.
D10 | Good | No issues noted.
C01 | Good | No issues noted.
C02 | Good | No issues noted.
C03 | Major issue | English line appears truncated (ends with "taking i"), so content is incomplete vs Japanese.
C04 | Good | No issues noted.
C05 | Good | No issues noted.
C06 | Good | No issues noted.
C07 | Good | No issues noted.
C08 | Good | No issues noted.
C09 | Good | No issues noted.
C10 | Good | No issues noted.
