Writing Task Translation Quality Log
Source: mofa situations/Situations_all.yaml
Scope: instructions.writing_task.prompt.en and prompt.ja for each situation

Format: ID | Quality | Notes

H01 | Good | No issues noted.
H02 | Good | No issues noted.
H03 | Good | No issues noted.
H04 | Good | No issues noted.
H05 | Good | No issues noted.
H06 | Good | No issues noted.
H07 | Good | No issues noted.
H08 | Good | No issues noted.
H09 | Good | No issues noted.
H10 | Good | No issues noted.
G01 | Good | No issues noted.
G02 | Good | No issues noted.
G03 | Good | No issues noted.
G04 | Good | No issues noted.
G05 | Good | No issues noted.
G06 | Good | No issues noted.
G07 | Good | No issues noted.
G08 | Good | No issues noted.
G09 | Good | No issues noted.
G10 | Good | No issues noted.
F01 | Good | No issues noted.
F02 | Good | No issues noted.
F03 | Good | No issues noted.
F04 | Good | No issues noted.
F05 | Good | No issues noted.
F06 | Good | No issues noted.
F07 | Good | No issues noted.
F08 | Good | No issues noted.
F09 | Good | No issues noted.
F10 | Good | No issues noted.
E01 | Good | No issues noted.
E02 | Good | No issues noted.
E03 | Good | No issues noted.
E04 | Good | No issues noted.
E05 | Good | No issues noted.
E06 | Good | No issues noted.
E07 | Good | No issues noted.
E08 | Good | No issues noted.
E09 | Good | No issues noted.
E10 | Good | No issues noted.
D01 | Good | No issues noted.
D02 | Minor issue | Japanese adds that the meeting is scheduled for "tomorrow morning" (明朝), which is not specified in English.
D03 | Minor issue | Japanese omits the specific location ("New York’s airport") and generalizes to "arrival airport."
D04 | Good | No issues noted.
D05 | Good | No issues noted.
D06 | Good | No issues noted.
D07 | Good | No issues noted.
D08 | Major issue | Japanese line is truncated and missing the end of the prompt.
D09 | Good | No issues noted.
D10 | Good | No issues noted.
C01 | Good | No issues noted.
C02 | Good | No issues noted.
C03 | Good | No issues noted.
C04 | Good | No issues noted.
C05 | Good | No issues noted.
C06 | Good | No issues noted.
C07 | Good | No issues noted.
C08 | Good | No issues noted.
C09 | Good | No issues noted.
C10 | Good | No issues noted.
